title,image_url,image_credit,description,watch_link
The Lowdown,https://cdn.mos.cms.futurecdn.net/bB25rLcQpEEhwiJuefyWpm.jpg,Disney,"This top-tier crime drama came out in the UK earlier in 2025 but it’s finally available to UK viewers via Disney+. The Lowdown stars Ethan Hawke as Lee Raybon, a bookshop owner who moonlights as a journalist-slash-investigator, digging into corruption in Tulsa. It’s tense and sharp, a Neo-noir that brings a renewed energy to the genre. Don’t miss it.",https://disneyplus.bn5x.net/c/221109/564546/9358?subId1=shortlist-de-1401889471101019976&sharedId=shortlist-de&u=https%3A%2F%2Fwww.disneyplus.com%2Fen-gb%2Fbrowse%2Fentity-74102e12-9fe8-4080-9176-e467e2bf6f5d
Goodbye June,https://cdn.mos.cms.futurecdn.net/v5vGWXRn8dLqTqp3iGZhkF.jpg,Netflix,"Kate Winslet takes on her first directing job in Goodbye June. And she stars in it too, as Julia. She is one of June’s (Helen Mirren) daughters. June is dying in hospital. Her cancer has returned and there’s no hope of a cure this time. It’s a Christmas film, but one about the sadness and surprise humour that can surround someone’s death. You can understand why Netflix didn’t big this one up in the weeks ahead of Christmas, but it’s worth a watch.",https://www.anrdoezrs.net/links/6361382/type/dlg/sid/shortlist-de-5274781442672139898/https://www.netflix.com/gb/title/81955146
Cover-Up,https://cdn.mos.cms.futurecdn.net/dY8WAocQab7Qjrukna5DoY.jpg,Netflix,"Seymour Hersh is an investigating journalist best known for uncovering the truth about the My Lai massacre, an atrocity of the Vietnam war. It won him a Pulitzer Prize, but it apparently took two decades for filmmaker Laura Poitras to persuade Hersh to consent to take part in the making of this doc. It takes us through his entire career of scoops, highlighting once again the importance of real investigative journalism.",https://www.anrdoezrs.net/links/6361382/type/dlg/sid/shortlist-de-2365036554947463228/https://www.netflix.com/gb/title/82145211
Made in Korea,https://cdn.mos.cms.futurecdn.net/84QrJNFxdbUzkcewrhF3q8.jpg,Disney,"Drama from Korea continues to supply the goods with the aptly named Made in Korea. It’s a story of corruption, drug smuggling and spies. Baek Gi-tae is a spy for the National Intelligence Service of South Korea. But he also smuggles drugs in his spare time. Prosecutor Jang Geon-young gets on his trail, though, out to reveal Baek Gi-tae’s double life.",https://disneyplus.bn5x.net/c/221109/564546/9358?subId1=shortlist-de-6119442788697852062&sharedId=shortlist-de&u=https%3A%2F%2Fwww.disneyplus.com%2Fen-gb%2Fbrowse%2Fentity-5acf7909-5d2f-494e-91a9-2fe0555c220f
Eden,https://cdn.mos.cms.futurecdn.net/84QrJNFxdbUzkcewrhF3q8.jpg,Disney,"Ron Howard, Happy Days star and director of movies like A Beautiful Mind, has had a crack at horror with Eden. It’s a dark film with streaks of satire through it, and stars Jude Law. His character leads a bunch of Europeans aiming to settle on an island in the Galapagos. But things, as they will tend to do in genre film-making, don’t quite go to plan.",https://www.anrdoezrs.net/links/6361382/type/dlg/sid/shortlist-de-2208673130485301680/https://www.netflix.com/title/82161420
Fallout season 2,https://cdn.mos.cms.futurecdn.net/xTismkDabpZGbmCts7yYGf.jpg,Amazon,"One of the best video-game-to-TV adaptations of all time is back. And this time we’re tackling New Vegas. The ghoul is in search of his wife and child while Lucy is hunting down her father in what becomes a road trip to remember across the wasteland. All the action, world-building and wit of the first season returns to make this an unmissable one for Prime Video subs. But Amazon is drawing this one out, the last episode not dropping until February.",https://target.georiot.com/Proxy.ashx?tsid=357512&GR_URL=https%3A%2F%2Famazon.co.uk%2FFallout%2Fdp%2FB0CJPB7TY4%2F%3Ftag%3Dhawk-future-21%26ascsubtag%3Dshortlist-de-1396119487606908905-21
The Great Flood,https://cdn.mos.cms.futurecdn.net/DS6B9U5BogQfAKW86qR2W4.jpg,Netflix,"A disaster movie takes a sci-fi turn in The Great Flood, which is about people in Korea trying to survive a catastrophic flood. It’s a disaster sweeping the world, but our focus is on a woman, a researcher, who tries to save her son by climbing an apartment building. Not all reviewers bought into the narrative approach, but it’s certainly one for genre fans to check out.",https://www.anrdoezrs.net/links/6361382/type/dlg/sid/shortlist-de-6132542392901619527/https://www.netflix.com/title/81579978
Emily in Paris season 5,https://cdn.mos.cms.futurecdn.net/2SUVr6ivpnhZC9suoNjEF7.jpg,Netflix,"Prepare to turn off your brains before turning this one on. Emily in Paris is back for a fifth season, which sees the drama split across Paris and Rome (and Venice for a bit). Minnie Driver joins the cast, and gives the campy show an extra injection of energy.",https://www.anrdoezrs.net/links/6361382/type/dlg/sid/shortlist-de-1217944632395220725/https://www.netflix.com/title/81037371
Breakdown: 1975,https://cdn.mos.cms.futurecdn.net/Lob2YUUnLffjeAZGdaknRG.jpg,Netflix,"Film-making in the 1970s was a different beast. This was the era of Taxi Driver and Dog Day Afternoon, not Marvel and DC. Morgan Neville posits a fractured US made the perfect breeding ground for the greatest year in cinema. This 90-minute documentary is narrated by Jodie Foster and features talking head contributions from Martin Scorsese, Josh Brolin and more.",
Jake Paul vs. Anthony Joshua,https://cdn.mos.cms.futurecdn.net/okjD6ZtGcWo52gUate8F2V.jpg,Netflix,"It’s the biggest event of the boxing season. It’s an indictment of how much money has infected the sport. Take your pick. Either way, Jake Paul and Anthony Joshua will take to the ring some time following 1am on Saturday morning, December 20th. And unlike some of the big-name events, this one is available to all Netflix subscribers.",https://www.anrdoezrs.net/links/6361382/type/dlg/sid/shortlist-de-9743760178585981072/https://www.netflix.com/gb/title/82122635
